CustomerID,ProdTaken,Age,TypeofContact,CityTier,DurationOfPitch,Gender,NumberOfPersonVisiting,NumberOfFollowups,ProductPitched,PreferredPropertyStar,NumberOfTrips,PitchSatisfactionScore,NumberOfChildrenVisiting,MonthlyIncome,Weather,review_text
200060,0,32,Self Enquiry,1,6,Male,2,3,Deluxe,3,2,4,0,21162,sun,"I stayed in the apartment with my wife and son. Stelios was great, after we got in touch about our time of arrival he came out to theMONASTIRAKI Metro station to meet us and even helped us with our bags. The apartment is a 4 minute walk from the station and the location could not be better.  All the major tourist attractions are very close and walking distance. Inside the apartment we had everything we needed and even more. Besides the usual things there were even power converters, local maps and welcome drinks.  The beds were comfortable and big and the apartment was clean. Overall not only the location but also the service and the quality was excellent."
200061,0,38,Company Invited,1,35,Female,2,3,Deluxe,3,2,3,0,17406,rain,"Stelios has been a perfect host. He welcomed us at the metro station, showd the flat, gave us differents sets of keys and was very kind and welcoming.
The flat is clean, like on the photos and the area where it is located very central and animated. "
200062,0,50,Self Enquiry,1,13,Female,2,4,King,3,6,4,1,33740,sun,"Stelios is perhaps the best AirBNB host in the entire world; certainly, he's the best I've ever had in my many uses of the site.  Even before we left, he helped us make arrangements for our stay, even setting up drivers to meet us at the airport and to take us back when we were done.  He was helpful by text, phone, and email, always responsive.  Very professional, friendly, and positive.  The apartment is wonderful;  because it's near the city center with a nightlife and restaurants, there's a little noise in the evening, but for me it wasn't a problem and I slept like a baby.  My first trip to Greece, but it won't be my last, and I plan to stay with Stelios every time!"
200063,0,59,Self Enquiry,3,31,Female,2,3,Standard,5,1,3,0,22637,rain,"Awesome place to stay, in downtown, close to every cultural place, restaurants... The house is brand new, beds with great mattres, very clean and with all facilities.

 great host, he has advice us about restarants, places to go...

highly recomended"
200064,0,36,Self Enquiry,1,14,Female,2,3,Standard,3,2,4,1,25096,rain,The place was wonderful and in the center of Athens. It is located 2 minutes away from monastiraki station and the tradiotional Greek restaurants by walking. Stelios was fully communicated with us and the service was excellent. He picked us from the station to the appartment. I recommend this place to live in Athens.
200065,0,55,Self Enquiry,1,14,Female,2,3,Super Deluxe,3,3,3,1,29756,snow,Stelios apartment is very spacious and beautiful. Five of us stayed there for two nights and it didn't feel crowded at all. The apartment is very close to restaurants and cafes yet tucked away in a quite lane so there is no disturbance. Stelios was very kind to book a cab for our transportation to and from the airport. Everything is at walkable distance from the apartment. We had a wonderful stay!
200066,0,36,Company Invited,1,17,Male,3,4,Deluxe,4,2,4,1,21499,sun,Fantastic stay! Fully stocked with everything you could need including tea and espresso and fast wifi. The neighborhood is a little noisy at night but overall we loved the location! The space is actually more spacious than it seems and very clean. Check in was quick and Stelio's accommodated our late arrival. Would highly recommend!
200067,0,45,Self Enquiry,1,13,Male,2,3,Standard,5,3,3,1,24724,sun,This apartment is in the perfect location! Just be aware of the loudness of the street below
200068,0,35,Company Invited,1,6,Male,3,3,Basic,5,5,2,1,17194,rain,"The apartment is perfectly located, very clean, comfortable, and well equipped, just as in the pictures. Only complain is the extremely loud extended ringling bell noises (not sure from where), multiple times every day very early in the morning. Also, on Fridayt and Saturday there was very loud construction drilling and hammering from early morning. Everything was great except that, so if the noises stop, the apartment is perfect. "
200069,1,,Self Enquiry,1,15,Male,3,4,Basic,3,1,2,1,18388,rain,"Great, clean, and central location. I found it easy to navigate aroundMONASTIRAKI, lots of little cute bars and cafes to choose from and so close to the market, shops, and acropolis.  Just a side note: the bed is so comfortable, be prepared to sleep in!"
200070,0,59,Company Invited,3,6,Female,2,4,Deluxe,3,1,5,1,20473,rain,"We had a great stay in the apartment. Perfectly located, allowing you to reach everything by foot. Being in the center of course means some noises coming from the street from time to time. We were fine with it (it is Athens after all :), but just a heads up!) Stelios is a great host, answered all emails and questions, set us up with a taxi from the airport and allowed later check out since there was noone renting after us on that day. The flat doesn't have a dishwasher. Again no big deal for us but the description is slightly misleading. All in all 5 stars! :)"
200071,0,29,Self Enquiry,1,8,Male,3,3,Basic,4,1,4,0,17703,snow,"Stelios is absolutely amazing! He is so responsive, nice, and caring about his guests!"
200072,0,31,Self Enquiry,1,6,Male,2,3,Basic,4,2,3,0,17501,snow,Great host of a great place!! The apartment's location is great you are within walking distance of practically everything. It is very clean and tidy!!
200073,0,32,Self Enquiry,1,6,Male,3,3,Deluxe,4,2,3,0,21220,rain,"Stelios place was clean,close to the metro and conveniently located.  There is a nightclub next door so there is a bit of noise (also street noise).  We had a lovely time there and would use this apartment again.  "
200074,0,36,Self Enquiry,1,12,Female,2,2,Deluxe,3,4,2,0,18038,snow,Stelios was a very accommodating host who arranged pick up and drop off at the airport which was very helpful. He has many great recommendations of things to do in Athens. His apartment was very clean and roomy and within walking distance to nightlife. Would recommend to anyone! 
200075,0,31,Self Enquiry,1,,Female,3,3,Deluxe,3,2,5,1,,rain,Stelios was very helpful and nice guy and the place was perfect.Thank you!!!
200076,0,35,Self Enquiry,3,,Male,2,4,Deluxe,5,1,2,1,,snow,"We really enjoyed our week in the Athenian neighbourhood of Psirri. The flat is well appointed and nicely located. It is a very busy, urban neighbourhood with lots of graffiti. We felt safe there, but it did get a bit dodgy walking further north. Some may feel unsafe here. Stelios was very good at communicating prior to our stay, for example mentioning an upcoming transit strike which would affect our travel plans and organizing a taxi for us from the airport. Light sleepers may have issues with the nearby construction (some of it in the building) and church bells in the early am. Overall, a nice flat and very good value. "
200077,0,45,Self Enquiry,1,12,Male,2,3,Standard,5,5,3,0,28245,rain,"Stelios was a super nice host. He picked us up at the trainstation and reccomendet some restaurants on our way to the apartment. The apartment was super clean und modern. There was some juice, water, coffee and towels prepared for us. It´s a beautiful area around the apartment, i can recommend it to anyone (:"
200078,0,37,Self Enquiry,1,13,Male,1,3,Standard,3,5,2,0,28664,rain,This is the best room I live in! clean! convenient! The rooms are available! And it's new! Great experience! Thanks for the hospitality of the landlord! Hope to book again later! Strongly recommend to you! But be sure to keep it clean!
200079,0,46,Self Enquiry,2,11,Male,3,,Deluxe,4,1,5,1,20021,rain,"Good place, but there is a los of noice at night, at noon and it Start a noice líke a machine at 3am last all the morning."
200080,0,30,Self Enquiry,1,6,Male,2,4,Deluxe,3,2,2,1,20126,rain,"We stay at Stelios place with 2 young children. The apartment is very well located to metro, shopping area & restaurants. Communication with Stelios is easy and he has been very helpful. The apartment is quite new, safe, clean, spacious, bright & accessible. "
200081,0,35,Self Enquiry,1,6,Male,1,4,Basic,3,2,4,0,17859,rain,"Apartment was great, location was perfect. Stelios was very helpful before and during our stay. "
200082,0,55,Self Enquiry,3,6,Male,3,3,Standard,3,4,2,1,25239,sun,"Apartment is in a v central location, within walking distance to all the main tourist attractions. Definitely a value-for-money accommodation! "
200083,0,38,Company Invited,1,12,Female,3,5,Deluxe,3,1,2,2,20329,sun,Perfect location to  discover athens! 
